Date,Temp (C),Humidity (%),Wind Direction (Degrees),Wind Speed (Knts),,,,
2020-04-25 17:00:02.297378,23,90,225,19,,,,
2020-04-25 17:10:02.055771,23,90,225,19,,,,
2020-04-25 17:20:02.296746,23,90,225,19,,,,
2020-04-25 17:30:01.503677,23,90,225,19,,,,
2020-04-25 17:40:01.856105,23,90,225,19,,,,
2020-04-25 17:50:02.020047,23,87,225,20,,,,
2020-04-25 18:00:01.184847,23,87,225,21,,,,
2020-04-25 18:10:01.361160,23,87,225,21,,,,
2020-04-25 18:20:01.545108,23,87,225,21,,,,
2020-04-25 18:30:01.732499,23,87,225,21,,,,
2020-04-25 18:40:00.914677,23,87,225,21,,,,
2020-04-25 18:50:01.079662,23,87,225,21,,,,
2020-04-25 19:00:02.054591,23,87,225,18,,,,
2020-04-25 19:10:01.662878,23,88,247.5,17,,,,
2020-04-25 19:20:02.347047,23,88,247.5,17,,,,
2020-04-25 19:30:01.996593,23,91,225,17,,,,
2020-04-25 19:40:01.790624,23,91,225,17,,,,
2020-04-25 19:50:01.430261,23,91,225,17,,,,
2020-04-25 20:00:02.315500,23,90,225,17,,,,
2020-04-25 20:10:01.523901,23,90,225,17,,,,
2020-04-25 20:20:01.665647,23,90,225,17,,,,
2020-04-25 20:30:02.322483,23,90,225,17,,,,
2020-04-25 20:40:02.144846,23,90,225,17,,,,
2020-04-25 20:50:01.778011,23,90,225,17,,,,
2020-04-25 21:00:00.909849,22,92,225,15,,,,
2020-04-25 21:10:01.140365,22,92,225,15,,,,
2020-04-25 21:20:01.875372,23,91,247.5,17,,,,
2020-04-25 21:30:01.016086,23,91,247.5,17,,,,
2020-04-25 21:40:01.326984,22,96,247.5,14,,,,
2020-04-25 21:50:01.776926,22,96,247.5,14,,,,
2020-04-25 22:00:00.973060,22,95,225,11,,,,
2020-04-25 22:10:01.347642,22,95,225,11,,,,
2020-04-25 22:20:01.637683,22,96,225,11,,,,
2020-04-25 22:30:01.930123,22,96,225,11,,,,
2020-04-25 22:40:01.687923,22,96,225,11,,,,
2020-04-25 22:50:02.384387,22,96,225,11,,,,
2020-04-25 23:00:02.108884,22,96,225,15,,,,
2020-04-25 23:10:02.335405,22,96,225,15,,,,
2020-04-25 23:20:02.113455,22,96,225,15,,,,
2020-04-25 23:30:01.939403,22,96,225,11,,,,
2020-04-25 23:40:01.575880,22,96,225,11,,,,
2020-04-25 23:50:03.341673,22,96,247.5,14,,,,
2020-04-26 00:00:02.189808,22,95,225,16,,,,
2020-04-26 00:10:01.824260,22,95,225,16,,,,
2020-04-26 00:20:01.703213,22,95,225,16,,,,
2020-04-26 00:30:00.885946,22,95,225,16,,,,
2020-04-26 00:40:01.005121,22,95,225,16,,,,
2020-04-26 00:50:01.098758,22,95,225,16,,,,
2020-04-26 01:00:01.305587,22,95,225,13,,,,
2020-04-26 01:10:01.905416,22,95,225,13,,,,
2020-04-26 01:20:01.062092,22,95,225,13,,,,
2020-04-26 01:30:01.303816,22,95,225,13,,,,
2020-04-26 01:40:01.518088,22,95,225,13,,,,
2020-04-26 01:50:01.792904,22,95,225,13,,,,
2020-04-26 02:00:01.004672,22,95,225,12,,,,
2020-04-26 02:10:01.149836,22,95,225,12,,,,
2020-04-26 02:20:01.324282,22,95,225,12,,,,
2020-04-26 02:30:01.647337,22,95,225,12,,,,
2020-04-26 02:40:01.794586,22,95,225,12,,,,
2020-04-26 02:50:01.024452,22,95,225,12,,,,
2020-04-26 03:00:01.432800,22,95,247.5,14,,,,
2020-04-26 03:10:02.258002,22,95,247.5,14,,,,
2020-04-26 03:20:01.426780,22,95,247.5,14,,,,
2020-04-26 03:30:01.842102,22,95,247.5,14,,,,
2020-04-26 03:40:01.740599,22,95,247.5,14,,,,
2020-04-26 03:50:02.364505,22,95,247.5,14,,,,
2020-04-26 04:00:02.076890,22,96,247.5,12,,,,
2020-04-26 04:10:01.930387,22,96,247.5,12,,,,
2020-04-26 04:20:01.711497,22,96,247.5,12,,,,
2020-04-26 04:30:02.464867,22,96,247.5,12,,,,
2020-04-26 04:40:01.847540,22,96,247.5,12,,,,
2020-04-26 04:50:01.571890,22,96,247.5,12,,,,
2020-04-26 05:00:02.527792,22,96,270,11,,,,
2020-04-26 05:10:02.375188,22,96,270,11,,,,
2020-04-26 05:20:01.553605,22,96,270,11,,,,
2020-04-26 05:30:01.929262,22,96,270,11,,,,
2020-04-26 05:40:01.041326,22,96,247.5,14,,,,
2020-04-26 05:50:01.208403,22,96,247.5,14,,,,
2020-04-26 06:00:01.342925,21,96,270,9,,,,
2020-04-26 06:10:01.511375,21,96,270,9,,,,
2020-04-26 06:20:01.769718,21,96,270,9,,,,
2020-04-26 06:30:01.730089,21,96,270,9,,,,
2020-04-26 06:40:01.659188,21,96,270,9,,,,
2020-04-26 06:50:02.621419,21,96,292.5,8,,,,
2020-04-26 07:00:02.306970,21,96,270,8,,,,
2020-04-26 07:10:01.490630,21,96,270,8,,,,
2020-04-26 07:20:01.650687,21,96,270,8,,,,
2020-04-26 07:30:02.225392,21,96,247.5,8,,,,
2020-04-26 07:40:01.578373,21,96,247.5,8,,,,
2020-04-26 07:50:01.680093,21,94,247.5,9,,,,
2020-04-26 08:00:02.427639,21,94,247.5,9,,,,
2020-04-26 08:10:01.814801,21,94,247.5,9,,,,
2020-04-26 08:20:00.980400,21,93,247.5,8,,,,
